Run,Seed,Condition,Landmark,Mean error (px),PCK@5 (%)
1,11,Contrast,leg_mr_c,1.2173858254935346,99.2874109263658
1,11,Contrast,leg_fl_tip,5.719780734013121,67.2209026128266
1,11,Contrast,leg_ml_tip,5.967912111318058,48.45605700712589
1,11,Contrast,leg_bl_tip,8.002538088477461,53.919239904988125
1,11,Contrast,leg_br_tip,5.936849706638425,59.857482185273156
1,11,Contrast,leg_mr_tip,10.69515696997168,66.0332541567696
1,11,Contrast,leg_fr_tip,9.484017686623464,40.142517814726844
1,11,Central Occlusion,head_fc,39.68087669228401,0.0
1,11,Central Occlusion,head_bl,51.10913338262279,0.0
1,11,Central Occlusion,head_br,51.72146920806606,0.0
1,11,Central Occlusion,thorax_fr,49.62051584111301,0.0
1,11,Central Occlusion,thorax_fl,49.24652866182169,0.0
1,11,Central Occlusion,thorax_bc,42.42215848029413,0.0
1,11,Central Occlusion,abdomen,16.68640004630287,0.0
1,11,Central Occlusion,leg_ml_in,42.28807232128133,0.0
1,11,Central Occlusion,leg_ml_c,35.754185573176905,0.0
1,11,Central Occlusion, leg_mr_in,48.84027831223296,0.0
1,11,Central Occlusion,leg_mr_c,54.885088394798146,0.0
1,11,Central Occlusion,leg_fl_tip,56.949096624087794,0.0
1,11,Central Occlusion,leg_ml_tip,30.727679395823447,0.0
1,11,Central Occlusion,leg_bl_tip,25.51292704786103,0.9501187648456058
1,11,Central Occlusion,leg_br_tip,28.45247874813167,0.0
1,11,Central Occlusion,leg_mr_tip,73.78049584126748,0.0
1,11,Central Occlusion,leg_fr_tip,30.803346328043503,0.0
2,22,Baseline,head_fc,6.490816279778037,49.16864608076009
2,22,Baseline,head_bl,1.2106123527183876,94.77434679334917
2,22,Baseline,head_br,2.1611609539324723,91.44893111638956
2,22,Baseline,thorax_fr,1.5524706126639012,96.19952494061758
2,22,Baseline,thorax_fl,1.4875289912121257,95.96199524940617
2,22,Baseline,thorax_bc,1.0169030966315908,100.0
2,22,Baseline,abdomen,0.8368684490849075,100.0
2,22,Baseline,leg_ml_in,1.119172150598637,100.0
2,22,Baseline,leg_ml_c,1.6336862751852703,98.09976247030879
2,22,Baseline, leg_mr_in,1.3204827268109196,99.2874109263658
2,22,Baseline,leg_mr_c,1.3408200317782764,99.7624703087886
2,22,Baseline,leg_fl_tip,15.758514196374659,6.65083135391924
2,22,Baseline,leg_ml_tip,13.039087841172588,4.98812351543943
2,22,Baseline,leg_bl_tip,12.152711064684526,12.589073634204276
2,22,Baseline,leg_br_tip,11.10448803623895,12.114014251781473
2,22,Baseline,leg_mr_tip,13.148147716996414,10.21377672209026
2,22,Baseline,leg_fr_tip,15.906400572521566,6.65083135391924
2,22,Mild Gaussian Blur,head_fc,7.9441044910276695,29.928741092636578
2,22,Mild Gaussian Blur,head_bl,2.0629583541226517,83.8479809976247
2,22,Mild Gaussian Blur,head_br,2.761272679662564,85.98574821852732
2,22,Mild Gaussian Blur,thorax_fr,1.878009320000496,95.48693586698337
2,22,Mild Gaussian Blur,thorax_fl,1.895252373277121,94.53681710213777
2,22,Mild Gaussian Blur,thorax_bc,1.3041642496236014,100.0
2,22,Mild Gaussian Blur,abdomen,0.7431876111624689,100.0
2,22,Mild Gaussian Blur,leg_ml_in,1.2044833011076381,99.7624703087886
2,22,Mild Gaussian Blur,leg_ml_c,1.9537529145506412,97.38717339667458
2,22,Mild Gaussian Blur, leg_mr_in,1.4154224464209144,99.5249406175772
2,22,Mild Gaussian Blur,leg_mr_c,1.5165771973038271,99.5249406175772
2,22,Mild Gaussian Blur,leg_fl_tip,16.669943114097517,5.7007125890736345
2,22,Mild Gaussian Blur,leg_ml_tip,13.124642914378256,5.225653206650831
2,22,Mild Gaussian Blur,leg_bl_tip,11.282951102303324,13.539192399049881
2,22,Mild Gaussian Blur,leg_br_tip,11.02230495303331,10.688836104513063
2,22,Mild Gaussian Blur,leg_mr_tip,11.890179650435293,11.63895486935867
2,22,Mild Gaussian Blur,leg_fr_tip,16.426594587488587,5.225653206650831
2,22,Strong Gaussian Blur,head_fc,20.060480910818043,0.0
2,22,Strong Gaussian Blur,head_bl,19.792713328904345,1.66270783847981
2,22,Strong Gaussian Blur,head_br,16.76031353115794,10.21377672209026
2,22,Strong Gaussian Blur,thorax_fr,15.486647594615647,19.47743467933492
2,22,Strong Gaussian Blur,thorax_fl,15.078401541413072,10.688836104513063
2,22,Strong Gaussian Blur,thorax_bc,5.606477663276431,80.52256532066508
2,22,Strong Gaussian Blur,abdomen,0.7430341657001442,100.0
2,22,Strong Gaussian Blur,leg_ml_in,16.155768040592967,86.22327790973871
2,22,Strong Gaussian Blur,leg_ml_c,14.905683756932513,81.47268408551069
2,22,Strong Gaussian Blur, leg_mr_in,4.807673099451765,83.1353919239905
2,22,Strong Gaussian Blur,leg_mr_c,6.304173090748378,62.70783847980997
2,22,Strong Gaussian Blur,leg_fl_tip,29.089373000236293,0.0
2,22,Strong Gaussian Blur,leg_ml_tip,12.090805360383987,10.688836104513063
2,22,Strong Gaussian Blur,leg_bl_tip,11.996838369964554,9.73871733966746
2,22,Strong Gaussian Blur,leg_br_tip,11.736848253674967,8.31353919239905
2,22,Strong Gaussian Blur,leg_mr_tip,12.49741252086587,9.263657957244655
2,22,Strong Gaussian Blur,leg_fr_tip,19.721649484858382,0.4750593824228029
2,22,Gaussian Noise,head_fc,85.37430927107737,3.32541567695962
2,22,Gaussian Noise,head_bl,62.54851812762296,19.71496437054632
2,22,Gaussian Noise,head_br,67.70909410861348,15.676959619952493
2,22,Gaussian Noise,thorax_fr,64.27251887683174,17.81472684085511
2,22,Gaussian Noise,thorax_fl,47.511774091315935,17.102137767220903
2,22,Gaussian Noise,thorax_bc,12.76596497815952,41.80522565320665
2,22,Gaussian Noise,abdomen,1.9675801742601613,98.812351543943
2,22,Gaussian Noise,leg_ml_in,32.78484956770547,38.242280285035626
2,22,Gaussian Noise,leg_ml_c,71.6324701151168,29.69121140142518
2,22,Gaussian Noise, leg_mr_in,18.63713155196255,35.39192399049881
2,22,Gaussian Noise,leg_mr_c,25.938550143982585,24.94061757719715
2,22,Gaussian Noise,leg_fl_tip,67.07522288182311,0.4750593824228029
2,22,Gaussian Noise,leg_ml_tip,46.09058985421258,12.351543942992874
2,22,Gaussian Noise,leg_bl_tip,24.34533834225086,3.800475059382423
2,22,Gaussian Noise,leg_br_tip,13.729454756066252,11.63895486935867
2,22,Gaussian Noise,leg_mr_tip,42.273836675829656,3.800475059382423
2,22,Gaussian Noise,leg_fr_tip,58.30686236578222,0.4750593824228029
2,22,Brightness,head_fc,2.92530473735709,85.74821852731591
2,22,Brightness,head_bl,0.7927323201685683,99.2874109263658
2,22,Brightness,head_br,1.4896970958997946,98.57482185273159
2,22,Brightness,thorax_fr,1.3038417021263022,99.7624703087886
2,22,Brightness,thorax_fl,1.2120254606322465,99.2874109263658
2,22,Brightness,thorax_bc,1.1028256940196641,100.0
2,22,Brightness,abdomen,0.8531174199217878,100.0
2,22,Brightness,leg_ml_in,1.1508082680387455,100.0
2,22,Brightness,leg_ml_c,1.9381947703798548,97.14964370546319
2,22,Brightness, leg_mr_in,1.3470620699900167,99.5249406175772
2,22,Brightness,leg_mr_c,1.6284219333816414,98.57482185273159
2,22,Brightness,leg_fl_tip,14.775213998957863,8.31353919239905
2,22,Brightness,leg_ml_tip,13.335897937378553,5.938242280285035
2,22,Brightness,leg_bl_tip,11.993607381980427,8.788598574821853
2,22,Brightness,leg_br_tip,10.950363847473305,8.31353919239905
2,22,Brightness,leg_mr_tip,13.17307538170832,12.589073634204276
2,22,Brightness,leg_fr_tip,14.083697483627517,11.401425178147269
2,22,Contrast,head_fc,5.843469518112034,53.44418052256532
2,22,Contrast,head_bl,1.0409298426654603,98.812351543943
2,22,Contrast,head_br,1.8049190169070022,95.72446555819477
2,22,Contrast,thorax_fr,1.3725290973037456,96.91211401425178
2,22,Contrast,thorax_fl,1.7069543016879931,98.33729216152018
2,22,Contrast,thorax_bc,1.238371195577934,99.7624703087886
2,22,Contrast,abdomen,1.0510709931845865,100.0
2,22,Contrast,leg_ml_in,1.4915229270229318,100.0
